interest_rate,debt_to_income,term,loan_amount,verified_income,application_type,grade,balance,paid_total,paid_interest,paid_principal,paid_late_fees
21.45,47.68,36,14350,Verified,joint,D,12860.42,2702.7,1213.12,1489.58,0
20,43.14,36,4800,Verified,joint,D,4396.49,708.23,304.72,403.51,0
11.99,9.14,36,10050,Source Verified,individual,B,9342.95,987.89,280.84,707.05,0
24.84,40.46,60,40000,Verified,joint,E,39308.29,2561.42,1869.71,691.71,0
18.06,6.07,36,10000,Source Verified,joint,D,9135.4,1437.29,572.69,864.6,0
7.35,28.74,36,12000,Source Verified,individual,A,10793.17,1484.9,278.07,1206.83,0
11.98,21.6,60,10000,Source Verified,individual,B,9502.54,828.03,330.57,497.46,0
6.08,29.2,36,4000,Not Verified,individual,A,3590.61,486.01,76.62,409.39,0
26.3,25.13,60,30000,Source Verified,individual,E,28714.63,4473.92,3188.55,1285.37,0
15.05,16.05,36,15000,Verified,individual,C,13645.89,2068.86,714.75,1354.11,0
11.98,106.66,36,9000,Verified,joint,B,8579.91,585.72,165.63,420.09,0
15.05,16.89,36,29975,Verified,individual,C,0,30325.9078886909,350.91,29975,0
19.03,25.09,60,20000,Verified,individual,D,19384.39,1536.31,920.7,615.61,0
10.91,10.48,36,6000,Source Verified,joint,B,5425.71,781.08,206.79,574.29,0
7.96,8.11,36,40000,Source Verified,individual,A,37018.15,3740.47,758.62,2981.85,0
16.02,13.58,60,18000,Not Verified,individual,C,17193.55,1735.66,929.21,806.45,0
5.32,2.04,36,7000,Source Verified,individual,A,6276.1,841.17,117.27,723.9,0
11.99,20.83,36,5000,Source Verified,individual,B,4528.63,660.87,189.5,471.37,0
19.42,23.68,36,12000,Source Verified,individual,D,11243.19,1301.4,544.59,756.81,0
6.71,20.08,36,14500,Not Verified,individual,A,13399.71,1331.99,231.7,1100.29,0
7.34,8.65,36,20000,Source Verified,individual,A,18495.85,1866.06,361.91,1504.15,0
6.08,3.97,36,15000,Source Verified,individual,A,13464.86,1817.39,282.25,1535.14,0
10.9,22.77,60,15000,Verified,individual,B,14427.41,958,385.41,572.59,0
6.72,25.67,36,10000,Source Verified,individual,A,8728.62,1533.77,262.39,1271.38,0
14.07,19.36,36,35000,Verified,individual,C,32611.1,3564.87,1175.97,2388.9,0
10.9,7.25,60,40000,Source Verified,individual,B,38473.08,2578.91,1051.99,1526.92,0
6.72,7.36,36,5000,Source Verified,individual,A,4492.76,613.13,105.89,507.24,0
13.58,15.95,36,8000,Verified,individual,C,7450.02,809.36,259.38,549.98,0
10.42,17.01,60,18000,Source Verified,individual,B,0,18676.8392193755,676.84,18000,0
10.41,33.12,36,13000,Source Verified,individual,B,12378.89,828.94,207.83,621.11,0
7.96,10.47,36,7000,Not Verified,individual,A,6478.16,654.59,132.75,521.84,0
11.98,13.2,60,20000,Source Verified,individual,B,19300,1069.52,369.52,700,0
11.99,17.46,36,6000,Source Verified,individual,B,5434.35,793.04,227.39,565.65,0
7.35,18.95,36,8000,Not Verified,individual,A,6991.22,1238.23,229.45,1008.78,0
13.59,11.69,60,28000,Not Verified,joint,C,26663.59,2444.91,1108.5,1336.41,0
6.08,11.2,36,20000,Not Verified,individual,A,17953.16,2423.17,376.33,2046.84,0
12.61,11.19,36,12000,Source Verified,individual,C,11445.14,795.75,240.89,554.86,0
12.62,17.69,60,26400,Verified,individual,C,25108.12,2363.73,1071.85,1291.88,0
15.05,42.03,60,35000,Not Verified,joint,C,33391.61,3305.02,1696.63,1608.39,0
15.05,11.33,60,28000,Source Verified,individual,C,26382.13,3310.89,1693.02,1617.87,0
15.04,26.82,60,24000,Not Verified,individual,C,23177.77,1694.36,872.13,822.23,0
9.43,37.8,60,11500,Source Verified,individual,B,11044.16,717.37,261.53,455.84,0
12.62,29.59,36,5000,Source Verified,individual,C,4412.9,834.29,247.19,587.1,0
11.99,26.95,60,23175,Verified,individual,B,21727.14,2561.56,1113.7,1447.86,0
11.99,18.29,36,8000,Source Verified,individual,B,7052.52,1323.07,375.59,947.48,0
14.08,30.76,36,12250,Not Verified,individual,C,10840.17,2076.64,666.81,1409.83,0
5.32,16.32,36,40000,Source Verified,individual,A,32574.58,8044.76,619.34,7425.42,0
14.07,27.37,60,24000,Source Verified,individual,C,23156.46,1640.41,796.87,843.54,0
10.9,2.84,36,6000,Source Verified,joint,B,5571.17,558.69,129.86,428.83,0
13.59,19.31,60,34000,Source Verified,individual,C,32377.21,3084.34,1461.55,1622.79,0
18.45,21.77,36,4000,Source Verified,individual,D,3830.67,282.84,113.51,169.33,0
18.06,16.44,36,3000,Verified,individual,D,2673.31,526.65,199.96,326.69,0
6.72,29.12,36,10000,Source Verified,joint,A,8985.52,1226.27,211.79,1014.48,0
19.42,24.98,60,14000,Verified,individual,D,13573.61,1084.16,657.77,426.39,0
9.92,17.53,36,20000,Verified,individual,B,18550.28,1922.78,473.06,1449.72,0
10.42,19.92,36,16000,Source Verified,individual,B,14458.03,2054.6,512.63,1541.97,0
7.35,21.16,60,29000,Source Verified,individual,A,26554.32,3373.59,927.91,2445.68,0
14.08,7.64,60,35000,Source Verified,individual,C,33350.52,3236.02,1586.54,1649.48,0
14.08,22.88,36,9600,Not Verified,individual,C,9165.79,649.45,215.24,434.21,0
5.31,12.86,36,18000,Source Verified,individual,A,16606.83,1615.35,222.18,1393.17,0
15.05,39.48,36,35000,Verified,individual,C,31840.41,4827.34,1667.75,3159.59,0
14.08,20.52,60,25000,Not Verified,individual,C,23821.8,2311.44,1133.24,1178.2,0
11.99,5.98,60,17000,Source Verified,individual,B,15937.93,1879.03,816.96,1062.07,0
7.96,19.26,36,10000,Source Verified,individual,A,9254.54,935.12,189.66,745.46,0
7.96,10.3,36,10000,Source Verified,individual,A,9254.54,935.12,189.66,745.46,0
9.44,4.94,60,15000,Not Verified,joint,B,14204.31,1242.63,446.94,795.69,0
13.58,29.45,36,35000,Verified,individual,C,15405.01,20364.98,769.99,19594.99,0
7.34,7.28,36,5000,Not Verified,individual,A,4623.95,461.43,85.38,376.05,0
5.31,11.77,36,15000,Not Verified,individual,A,13839.02,1350.56,189.58,1160.98,0
6.71,16.18,36,4000,Source Verified,individual,A,0,4026.0955555572,26.1,4000,0
5.31,2.19,36,20000,Verified,individual,A,18970.31,1198.52,168.83,1029.69,0
11.99,9.1,36,20000,Source Verified,individual,B,17631.3,3294.36,925.66,2368.7,0
6.72,9.43,36,10000,Not Verified,individual,A,8728.33,1513.24,241.57,1271.67,0
11.99,19.42,36,30000,Not Verified,individual,B,0,31032.6937390806,1032.69,30000,0
5.32,21.39,36,5000,Not Verified,individual,A,4352.22,751.42,103.64,647.78,0
12.61,17.1,60,10000,Verified,individual,C,9757.82,444.07,201.89,242.18,0
10.42,6.43,36,4200,Not Verified,individual,B,3691.8,675.72,167.52,508.2,0
23.88,6.8,60,16025,Verified,individual,E,15443.93,1786.45,1205.38,581.07,0
6.72,26.44,36,10000,Not Verified,individual,A,8657.56,1626.17,283.73,1342.44,0
14.07,27.23,60,10000,Not Verified,individual,C,9648.51,691.33,339.84,351.49,0
9.44,13.51,60,17000,Source Verified,individual,B,16098.2,1408.33,506.53,901.8,0
17.09,33.41,36,10000,Not Verified,individual,D,9347.1,1061.45,408.55,652.9,0
12.62,19.12,60,28800,Not Verified,joint,C,27029.04,3208.12,1437.16,1770.96,0
19.42,34.65,36,30000,Source Verified,individual,D,28108,3285.84,1393.84,1892,0
10.91,13.73,36,10000,Source Verified,individual,B,8798.08,1628.79,426.87,1201.92,0
14.08,24.57,60,16000,Not Verified,individual,C,15245.95,1466.81,712.76,754.05,0
6.72,22.4,36,10000,Source Verified,individual,A,8985.52,1237.47,222.99,1014.48,0
10.42,4.56,36,10000,Not Verified,individual,B,8790.09,1617.46,407.55,1209.91,0
21.45,29.34,60,35000,Verified,individual,D,33289.3,4674.48,2963.78,1710.7,0
16.01,10.85,60,36000,Not Verified,joint,C,34798.06,2562.91,1360.97,1201.94,0
11.98,15.78,36,24000,Source Verified,individual,B,22311.29,2390.77,702.06,1688.71,0
13.58,26.02,36,12000,Verified,individual,C,11175.06,1214.02,389.08,824.94,0
17.47,22.86,60,35000,Source Verified,individual,D,33876.29,2568.19,1444.48,1123.71,0
16.02,14.11,36,8000,Source Verified,individual,C,7103.69,1399.58,503.27,896.31,0
5.32,3.44,36,4000,Verified,individual,A,3481.79,599.94,81.73,518.21,0
11.98,25.32,36,3000,Source Verified,individual,B,2788.9,296.86,85.76,211.1,0
13.59,32.12,36,10000,Source Verified,individual,C,9078.33,1351.61,429.94,921.67,0
14.08,18.16,36,9600,Source Verified,individual,C,8721.33,1306.41,427.74,878.67,0
9.44,8.91,36,6000,Not Verified,individual,B,5264.37,953.86,218.23,735.63,0
10.41,12.5,36,16000,Not Verified,individual,B,14848.36,1548.86,397.22,1151.64,0
9.92,12.54,36,10500,Not Verified,individual,B,9738.88,1035.51,274.39,761.12,0
15.05,12.37,60,25000,Not Verified,individual,C,23851.14,2360.74,1211.88,1148.86,0
9.44,19.82,60,21600,Source Verified,individual,B,20454.21,1800.71,654.92,1145.79,0
12.61,4.02,36,4000,Not Verified,individual,C,3626.17,533.32,159.49,373.83,0
21.85,15.86,60,15000,Not Verified,individual,D,14716.98,943.8,660.78,283.02,0
30.17,30.13,60,22600,Not Verified,individual,F,21730.63,3629.87,2760.5,869.37,0
19.42,12.75,36,15000,Not Verified,individual,D,14053.98,1642.94,696.92,946.02,0
10.42,22.31,36,5000,Source Verified,individual,B,4395.02,808.76,203.78,604.98,0
14.08,4.8,60,32000,Source Verified,individual,C,30103.75,3667.02,1770.77,1896.25,0
11.99,24.77,60,40000,Verified,individual,B,38010.78,3531.68,1542.46,1989.22,0
6.08,26.22,36,36000,Source Verified,joint,A,33243.78,3265.18,508.96,2756.22,0
13.58,7.27,36,8600,Not Verified,individual,C,8008.79,870.05,278.84,591.21,0
10.42,18.41,60,30000,Verified,individual,B,28447.4,2539.79,987.19,1552.6,0
9.93,17.7,60,18200,Not Verified,individual,B,17003.03,1920.31,723.34,1196.97,0
10.9,9.93,36,6500,Source Verified,individual,B,6035.43,629.63,165.06,464.57,0
14.08,28.87,36,27000,Verified,individual,C,24528.73,3653.16,1181.89,2471.27,0
6.07,27.05,36,25000,Verified,individual,A,23085.67,2275.62,361.29,1914.33,0
10.91,9.51,36,30000,Source Verified,individual,B,27128.58,3887.19,1015.77,2871.42,0
9.44,19.82,36,24000,Source Verified,individual,B,21655.23,3059.89,715.12,2344.77,0
26.3,45.52,60,20000,Verified,joint,E,19321.97,2380.26,1702.23,678.03,0
6.07,3.67,36,10000,Not Verified,individual,A,9134.17,1010.25,144.42,865.83,0
11.99,6.69,36,9000,Source Verified,individual,B,7934.09,1488.45,422.54,1065.91,0
9.43,33.7,36,32000,Not Verified,joint,B,28873.2,3956.59,829.79,3126.8,0
21.45,15.68,60,20000,Verified,individual,D,19022.42,2671.17,1693.59,977.58,0
14.08,23.17,36,9500,Not Verified,individual,C,8630.47,1292.81,423.28,869.53,0
9.44,24.83,36,25000,Not Verified,individual,B,22155.88,3600.53,756.41,2844.12,0
17.09,20.19,36,8000,Source Verified,individual,D,7298.56,1149.3,447.86,701.44,0
21.85,49.98,60,40000,Verified,joint,D,38860.45,3255.49,2115.94,1139.55,0
17.09,9.3,36,8400,Verified,individual,D,6976.44,1866.46,442.9,1423.56,0
14.08,31.26,36,10000,Source Verified,individual,C,9084.7,1349.12,433.82,915.3,0
13.58,17.9,36,25000,Source Verified,individual,C,23281.4,2529.19,810.59,1718.6,0
5.32,5.1,36,4000,Not Verified,individual,A,0,4056.6507505876,56.65,4000,0
12.62,4.04,36,10000,Source Verified,individual,C,9065.57,1322.95,388.52,934.43,0
9.44,10.92,36,12000,Source Verified,individual,B,0,0,0,0,0
14.07,13.66,60,28000,Verified,individual,C,27347.74,1348.84,696.58,652.26,0
10.9,18.85,36,8000,Source Verified,individual,B,7428.22,779.78,208,571.78,0
14.08,27,36,30000,Verified,joint,C,27254.14,4082.53,1336.67,2745.86,0
7.97,18.61,36,6400,Not Verified,individual,A,5761.82,799.05,160.87,638.18,0
14.07,4.14,60,30000,Source Verified,individual,C,28945.56,2050.52,996.08,1054.44,0
13.58,9.72,60,20000,Not Verified,joint,C,19287.91,1352.91,640.82,712.09,0
6.72,18.99,36,10000,Not Verified,individual,A,8728.34,1530.03,258.37,1271.66,0
16.02,11.7,60,20000,Source Verified,individual,C,18872.39,2486.3,1358.69,1127.61,0
6.07,14.94,36,20000,Source Verified,joint,A,18468.54,1820.5,289.04,1531.46,0
6.72,16.73,36,38400,Source Verified,individual,A,34504.47,4708.78,813.25,3895.53,0
5.32,8.26,36,16000,Not Verified,individual,A,13927.17,2404.47,331.64,2072.83,0
7.96,12.04,36,5000,Source Verified,individual,A,4752.33,308.76,61.09,247.67,0
20.39,14.04,36,15000,Source Verified,individual,D,14067.64,1647.34,714.98,932.36,0
9.93,10.44,36,4500,Not Verified,individual,B,3951.89,722.82,174.71,548.11,0
18.06,18.52,60,16000,Source Verified,individual,D,15320.78,1587.15,907.93,679.22,0
23.88,21.12,36,35000,Verified,joint,E,31493.68,6761.88,3255.56,3506.32,0
20.39,11.28,36,5475,Source Verified,individual,D,5250.02,427.75,202.77,224.98,0
12.61,20.16,36,6000,Source Verified,individual,C,5581.66,598.92,180.58,418.34,0
14.08,34.99,36,14400,Source Verified,individual,C,12215.8,2901.47,717.27,2184.2,0
10.41,16.3,36,20000,Verified,individual,B,18560.45,1936.06,496.51,1439.55,0
19.03,36.16,36,10000,Not Verified,individual,D,8926.24,1823.03,749.27,1073.76,0
6.08,15.2,36,10000,Not Verified,individual,A,8976.56,1209.92,186.48,1023.44,0
10.91,12.11,36,10000,Source Verified,individual,B,8798.66,1628.79,427.45,1201.34,0
7.35,15.19,36,12000,Source Verified,individual,A,8696.96,3556.48,253.44,3303.04,0
6.71,21.79,36,10000,Not Verified,individual,A,9241.17,914.89,156.06,758.83,0
10.91,30.93,36,10000,Source Verified,individual,B,8939.53,1419.83,359.36,1060.47,0
15.04,19.03,36,7200,Source Verified,individual,C,6715.48,743.2,258.68,484.52,0
12.61,37.03,36,9200,Verified,individual,C,8774.61,610.07,184.68,425.39,0
7.35,8.68,36,40000,Not Verified,joint,A,35977.23,4949.67,926.9,4022.77,0
11.98,16.55,36,15000,Source Verified,individual,B,13944.54,1484.26,428.8,1055.46,0
14.07,35.6,36,18000,Verified,individual,C,16771.43,1847.43,618.86,1228.57,0
5.31,9.55,36,3800,Not Verified,individual,A,3505.89,341.02,46.91,294.11,0
12.61,44.11,36,35000,Verified,joint,C,32559.72,3469.15,1028.87,2440.28,0
20,34.43,36,3725,Verified,individual,D,3411.85,549.62,236.47,313.15,0
10.9,0.67,36,10000,Not Verified,individual,B,9285.29,968.65,253.94,714.71,0
25.82,22.03,60,30000,Source Verified,individual,E,28697.54,4432.07,3129.61,1302.46,0
9.44,22.82,60,19100,Not Verified,joint,B,18086.82,1592.3,579.12,1013.18,0
6.08,17.82,36,16000,Not Verified,individual,A,13948.22,2425.89,374.11,2051.78,0
7.96,7.63,36,5000,Not Verified,individual,A,4627.27,467.56,94.83,372.73,0
17.09,29.97,36,35000,Verified,individual,D,31931.37,4964.45,1895.82,3068.63,0
10.41,9.72,36,6000,Source Verified,individual,B,5568.11,577.37,145.48,431.89,0
10.9,39.27,36,15000,Source Verified,individual,B,13927.93,1462.06,389.99,1072.07,0
17.09,12.39,60,18000,Source Verified,individual,D,17215.97,1758.7,974.67,784.03,0
11.98,13.06,36,10000,Source Verified,individual,B,9296.37,982.84,279.21,703.63,0
13.59,7.19,60,40000,Verified,individual,C,38576.25,2736.55,1312.8,1423.75,0
12.62,11.34,36,3200,Source Verified,individual,C,2824.25,530.59,154.84,375.75,0
18.06,24.86,36,19200,Verified,individual,D,17964.34,2064.87,829.21,1235.66,0
6.71,15.95,36,12800,Not Verified,individual,A,11828.69,1171.08,199.77,971.31,0
17.09,22.56,36,10200,Source Verified,individual,D,9305.7,1446.8,552.5,894.3,0
16.01,24.35,60,26450,Verified,individual,C,25865.18,1239.67,654.85,584.82,0
10.42,7.68,36,9000,Verified,individual,B,7911.05,1455.74,366.79,1088.95,0
18.06,11.63,36,30000,Source Verified,individual,D,26733.24,5397.3,2130.54,3266.76,0
7.35,12.87,36,15000,Source Verified,individual,A,13491.43,1856.16,347.59,1508.57,0
12.62,32.09,36,20500,Not Verified,joint,C,18585,2733.55,818.55,1915,0
9.44,8.28,60,18000,Not Verified,individual,B,16801.75,1878.11,679.86,1198.25,0
21.85,24.26,60,20000,Not Verified,individual,D,19623.57,1149.24,772.81,376.43,0
11.99,11.32,36,30000,Source Verified,joint,B,26447.01,4961.47,1408.48,3552.99,0
7.97,18.8,36,5000,Not Verified,individual,A,4374.69,780.89,155.58,625.31,0
16.01,16.6,36,3600,Not Verified,individual,C,3361.16,358.96,120.12,238.84,0
9.44,7.33,36,40000,Verified,individual,B,36092.05,5068.36,1160.41,3907.95,0
9.44,21.37,36,24000,Verified,individual,B,21057.47,3828.01,885.48,2942.53,0
20.39,43.21,36,4000,Verified,joint,D,3751.34,443.85,195.19,248.66,0
10.9,12.61,60,10000,Not Verified,individual,B,9488.7,855.61,344.31,511.3,0
13.58,24.35,36,11000,Source Verified,individual,C,10243.8,1112.86,356.66,756.2,0
18.06,21.36,36,20000,Verified,individual,D,18270.81,2874.57,1145.38,1729.19,0
11.98,16.88,60,40000,Verified,individual,B,38515.13,2641.52,1156.65,1484.87,0
5.31,14.48,36,13500,Not Verified,individual,A,12455.13,1193.59,148.72,1044.87,0
7.97,22.1,36,24000,Verified,individual,A,20998.65,3748.12,746.77,3001.35,0
19.03,17.18,36,30000,Verified,individual,D,26777.45,5468.98,2246.43,3222.55,0
6.07,2.84,36,6000,Not Verified,individual,A,5200,895.53,95.53,800,0
14.08,28.37,36,40000,Not Verified,joint,C,36338.88,5443.35,1782.23,3661.12,0
10.91,13.2,36,12000,Source Verified,individual,B,10557.71,1943.62,501.33,1442.29,0
6.71,10.81,36,4000,Verified,individual,A,0,4065.6849185726,65.68,4000,0
10.9,31.4,36,18000,Verified,joint,B,16713.54,1743.55,457.09,1286.46,0
19.42,22.99,36,9600,Not Verified,individual,D,9199.63,687.17,286.8,400.37,0
25.81,14.78,60,30000,Source Verified,individual,E,29234.98,2641.53,1876.51,765.02,0
13.59,34.18,36,20000,Not Verified,joint,C,14028.48,6703.22,731.7,5971.52,0
5.31,31.35,36,17575,Source Verified,individual,A,16670.16,1053.2,148.36,904.84,0
12.62,10.62,36,2600,Source Verified,individual,C,2357.04,351.26,108.3,242.96,0
12.61,26.13,36,3500,Source Verified,individual,C,3255.95,346.94,102.89,244.05,0
10.42,11.46,36,25000,Source Verified,individual,B,21975.24,4043.63,1018.87,3024.76,0
10.91,23.36,36,15000,Not Verified,individual,B,13197.14,2443.16,640.3,1802.86,0
21.45,9.67,36,13175,Verified,joint,D,11807.39,2481.4,1113.79,1367.61,0
11.98,29.67,60,20000,Not Verified,individual,B,19257.56,1353.64,611.2,742.44,0
9.93,11.22,36,8550,Source Verified,individual,B,7508.61,1373.33,331.94,1041.39,0
25.82,16.06,36,30750,Verified,individual,E,29588.94,2579.37,1418.31,1161.06,0
10.42,18.04,36,21200,Not Verified,individual,B,19156.89,2740.77,697.66,2043.11,0
19.03,78.31,60,30000,Verified,joint,D,28436.34,3861.88,2298.22,1563.66,0
12.61,34.08,36,15000,Verified,individual,C,14306.42,1036.73,343.15,693.58,0
21.45,27.03,60,25975,Source Verified,individual,D,24968.38,2806.29,1799.67,1006.62,0
25.82,28.24,60,19000,Verified,individual,E,18347.17,2240.15,1587.32,652.83,0
6.71,22.07,36,10000,Source Verified,individual,A,9241.17,918.62,159.79,758.83,0
16.01,10.3,36,4975,Verified,individual,C,4644.94,520.4,190.34,330.06,0
21.45,34.15,36,5550,Source Verified,individual,D,5093.19,851.49,394.68,456.81,0
5.32,27.17,36,10500,Not Verified,individual,A,9414.17,1261.74,175.91,1085.83,0
6.72,23.93,36,25000,Source Verified,individual,A,21820.89,3825.03,645.92,3179.11,0
12.62,6.1,60,10000,Not Verified,individual,C,9510.61,895.39,406,489.39,0
9.93,23.05,36,15000,Not Verified,individual,B,13173.03,2438.29,611.32,1826.97,0
10.42,0,36,16000,Source Verified,individual,B,14064.14,2578.68,642.82,1935.86,0
12.62,9.84,36,14000,Source Verified,individual,C,12588.24,1942.74,530.98,1411.76,0
17.09,8.41,36,4000,Verified,individual,D,3650.1,567.4,217.5,349.9,0
28.72,22.1,60,24000,Source Verified,individual,F,23438.41,2008.67,1447.08,561.59,0
6.08,9.81,36,14000,Not Verified,individual,A,12204.46,2094.27,298.73,1795.54,0
10.42,18.52,36,6500,Source Verified,individual,B,0,6502.3486805554,2.35,6500,0
16.01,24.89,36,3200,Verified,individual,C,2915.05,428.73,143.78,284.95,0
7.97,25.11,36,15000,Source Verified,individual,A,13881.96,1432.03,313.99,1118.04,0
11.99,22.54,36,19000,Not Verified,individual,B,17208.78,2542.95,751.73,1791.22,0
15.05,12.89,60,22000,Not Verified,individual,C,20728.27,2638.2,1366.47,1271.73,0
21.85,20.84,60,11100,Source Verified,individual,D,0,11561.3237662903,461.32,11100,0
10.9,12.32,36,8000,Source Verified,individual,B,7203.35,1066.47,269.82,796.65,0
5.31,7.29,36,23000,Source Verified,individual,A,21815.86,1378.3,194.16,1184.14,0
10.42,2.25,36,9000,Source Verified,individual,B,5657.31,3650.53,307.84,3342.69,0
6.07,5.44,36,18000,Source Verified,individual,A,17083.45,1090.27,173.72,916.55,0
7.35,6.87,36,12000,Not Verified,individual,A,10640.76,1619.26,260.02,1359.24,0
6.71,9.92,36,4650,Not Verified,individual,A,3846.46,875.44,71.9,803.54,0
7.97,25.16,36,18000,Source Verified,individual,A,15749,2811.08,560.08,2251,0
10.42,13.79,36,6000,Source Verified,individual,B,5400.65,793.05,193.7,599.35,0
11.99,20.2,60,40000,Verified,individual,B,38010.78,3531.68,1542.46,1989.22,0
15.05,30.33,60,30000,Verified,individual,C,28265.84,3509.74,1775.58,1734.16,0
28.72,27.57,60,30000,Verified,individual,F,29295.97,2793.58,2089.55,704.03,0
6.72,10.52,36,24000,Verified,individual,A,20948.06,3672.03,620.09,3051.94,0
26.77,15.73,36,9100,Not Verified,joint,E,8586.56,1084.1,570.66,513.44,0
6.08,10.54,36,7000,Source Verified,individual,A,6283.6,854.03,137.63,716.4,0
16.01,22.04,36,10000,Not Verified,individual,C,9336.62,1045.97,382.59,663.38,0
19.03,17.79,60,16000,Verified,individual,D,15507.51,1229.04,736.55,492.49,0
9.44,16.42,36,20000,Source Verified,individual,B,17547.89,3174.28,722.17,2452.11,0
9.44,3.08,36,40000,Verified,individual,B,0,41133.5339462166,1133.53,40000,0
5.31,11.85,36,40000,Source Verified,individual,A,36904.08,3601.46,505.54,3095.92,0
9.43,28.6,36,9000,Source Verified,individual,B,8343.01,859.31,202.32,656.99,0
9.43,16.76,36,7800,Not Verified,individual,B,7230.6,728.4,159,569.4,0
25.82,31.04,36,25000,Verified,individual,E,23071.03,3983.62,2054.65,1928.97,0
11.98,17.67,60,35000,Source Verified,individual,B,33700.73,2288.04,988.77,1299.27,0
7.97,29.24,36,14000,Source Verified,individual,A,12249.21,2149.21,398.42,1750.79,0
13.58,15,60,40000,Verified,individual,C,39055.92,1783.74,839.66,944.08,0
9.92,30.1,36,13175,Not Verified,individual,B,12220,1266.63,311.63,955,0
16.02,13.99,36,5600,Source Verified,individual,C,5101.41,777.79,279.2,498.59,0
6.72,NA,36,25000,Not Verified,joint,A,22463.84,3065.63,529.47,2536.16,0
5.32,4.76,36,25000,Verified,joint,A,21761.23,3749.57,510.8,3238.77,0
7.35,16.7,36,10000,Not Verified,individual,A,8994.29,1237.44,231.73,1005.71,0
11.99,19.22,60,12500,Not Verified,individual,B,11719.03,1381.67,600.7,780.97,0
11.98,8.85,60,23000,Source Verified,individual,B,22146.21,1503.55,649.76,853.79,0
10.91,17.36,36,18000,Not Verified,individual,B,15836.57,2931.79,768.36,2163.43,0
9.43,56.76,36,10500,Verified,joint,B,9733.52,997.03,230.55,766.48,0
6.07,18.76,36,20000,Not Verified,individual,A,18468.54,1820.5,289.04,1531.46,0
19.42,14.32,60,35000,Source Verified,joint,D,33934.09,2710.33,1644.42,1065.91,0
5.32,20.32,36,40000,Verified,individual,A,35863.53,4806.58,670.11,4136.47,0
14.08,16.92,60,10000,Not Verified,individual,C,9528.72,916.76,445.48,471.28,0
6.07,10.08,36,15000,Source Verified,joint,A,13851.66,1360.31,211.97,1148.34,0
15.05,25.02,36,9125,Verified,individual,C,8088.8,1575.12,538.92,1036.2,0
11.98,11.49,60,40000,Not Verified,individual,B,38515.13,2641.52,1156.65,1484.87,0
24.84,23.38,60,12000,Source Verified,individual,E,11685.48,1036.74,722.22,314.52,0
14.07,4.45,36,8300,Not Verified,individual,C,6700.83,1855.56,256.39,1599.17,0
12.62,17.86,36,17150,Verified,individual,C,15547.5,2286.86,684.36,1602.5,0
10.9,16.18,36,3000,Not Verified,individual,B,2785.57,292.42,77.99,214.43,0
17.09,15.72,60,12000,Not Verified,individual,D,11341.92,1471.31,813.23,658.08,0
14.08,32.73,60,16000,Verified,individual,C,15051.87,1778.06,829.93,948.13,0
18.06,15.9,36,11000,Source Verified,individual,D,9802.18,1967.98,770.16,1197.82,0
10.41,41.42,36,35000,Verified,joint,B,32480.81,3418.46,899.27,2519.19,0
12.62,14.89,60,23000,Not Verified,individual,C,21874.49,2043.19,917.68,1125.51,0
10.41,20.97,36,12675,Not Verified,individual,B,11762.68,1219.66,307.34,912.32,0
9.44,17.17,36,8000,Source Verified,individual,B,7019.16,1276,295.16,980.84,0
10.42,17.24,36,5500,Verified,individual,B,4834.53,889.62,224.15,665.47,0
10.91,28.14,36,36025,Verified,individual,B,31695.22,5834.81,1505.03,4329.78,0
13.59,11.46,36,20000,Source Verified,individual,C,18156.66,2732.74,889.4,1843.34,0
12.62,30.27,60,15000,Source Verified,joint,C,14265.96,1327.27,593.23,734.04,0
6.08,18.14,36,4500,Source Verified,individual,A,4039.43,546.76,86.19,460.57,0
9.44,6.36,36,13000,Source Verified,individual,B,11406.1,2063.31,469.41,1593.9,0
14.07,5.7,36,2800,Source Verified,individual,C,2608.87,285.21,94.08,191.13,0
11.99,44.29,36,12000,Verified,joint,B,10868.71,1586.09,454.8,1131.29,0
13.59,33.55,60,20000,Verified,individual,C,19045.42,1806.77,852.19,954.58,0
9.44,31.24,36,3000,Verified,individual,B,2706.88,380.15,87.03,293.12,0
7.96,9.59,36,18200,Not Verified,individual,A,17298.49,1156.08,254.57,901.51,0
6.72,15.18,36,10000,Not Verified,individual,A,8985.52,1226.27,211.79,1014.48,0
12.62,13.99,60,16225,Source Verified,joint,C,15434.48,1489.34,662.22,790.52,36.6
10.9,26.63,36,3000,Verified,joint,B,2785.57,292.42,77.99,214.43,0
7.34,27.9,36,6000,Source Verified,individual,A,5700.09,367.51,67.6,299.91,0
18.06,17.78,60,15000,Not Verified,individual,D,14363.2,1487.98,851.18,636.8,0
21.45,7.15,36,12000,Source Verified,individual,D,10755.87,2260.1,1015.97,1244.13,0
6.71,9.81,36,18450,Source Verified,individual,A,17519.26,1120.72,189.98,930.74,0
9.93,6.31,36,5000,Not Verified,individual,B,4514.8,641.96,156.76,485.2,0
7.34,43.38,36,16600,Verified,joint,A,15770.24,1016.76,187,829.76,0
11.99,0.75,36,5000,Source Verified,individual,B,4407.83,823.59,231.42,592.17,0
9.43,28.69,36,6000,Verified,individual,B,5562,569.74,131.74,438,0
10.91,27.66,36,10500,Verified,individual,B,9495.01,1357.56,352.57,1004.99,0
9.92,27.76,36,5000,Not Verified,individual,B,4759.38,316.79,76.17,240.62,0
